,acousticness,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,year,hit
90,0.989,59.5,0.374,53620,0.365,1oXyi0HbT4C7ZUYRBSxFIt,0.766,9,0.135,-20.056,0,0,0.0423,88.874,5,0.224,2019,0
91,0.0951,98.0,0.431,258760,0.894,1GxHeBvQ9935Dd3cSfsfBa,0.0,5,0.188,-2.673,0,74,0.33,162.193,4,0.604,2010,0
92,0.875,36.0,0.591,162075,0.337,6PKx2N9KbWMioQlZBhTCPR,0.0,9,0.64,-13.186,1,27,0.193,120.17,4,0.729,2011,0
93,0.104,66.0,0.754,262925,0.359,07IBaCvg4ommhmahLRHLT5,4.71e-05,3,0.22,-7.732,1,61,0.0635,113.97,4,0.468,2019,0
94,2.34e-06,44.0,0.307,135721,0.992,7KcpmtSof6pkzDKRjn8MTm,0.751,1,0.0634,-6.152,0,31,0.0813,169.921,4,0.337,2019,0
95,0.138,61.0,0.705,250493,0.702,2e9EZ2V5QGGZPMJacO3y0Y,0.0,0,0.364,-4.783,0,64,0.108,140.059,4,0.771,2010,0
96,0.426,78.0,0.725,177426,0.804,01gwPP2h3ajRnqiIphUtR7,0.000504,8,0.108,-7.84,1,63,0.0393,93.668,4,0.961,2000,0
97,0.00647,67.5,0.835,274386,0.757,6o3s08kk2fQI37vxGZDrJ1,0.0,8,0.29,-5.029,0,70,0.23,82.038,4,0.626,2006,0
98,0.0481,54.0,0.57,203560,0.843,3aTyz9Yur7YRSXXXlyjKUD,0.0,10,0.0936,-4.797,1,57,0.0543,124.981,4,0.709,2009,0
99,8.63e-05,77.0,0.512,227266,0.952,57yI1u6t6cFXbjgjQcRHug,4.16e-05,9,0.0544,-3.285,0,72,0.167,122.988,4,0.17,2019,0
100,0.157,84.5,0.709,251859,0.362,0PXp9QxBfSKGGpWUNaws2X,0.0,11,0.109,-9.814,1,73,0.055,122.043,4,0.113,2015,0
101,6.96e-05,24.0,0.297,256038,0.968,3EZM1AZWfkiSEkLecEe3UP,3.08e-05,6,0.238,-7.659,1,37,0.151,130.056,4,0.244,2019,0
102,0.974,44.0,0.474,377320,0.112,2seZ8ZHnD5RQBkhT8RsBZu,0.873,0,0.112,-17.762,1,54,0.0297,106.514,4,0.116,2018,0
103,0.438,80.5,0.665,255455,0.506,0MoGkelRvi3gxZy6kuYHLq,9.8e-06,8,0.104,-10.872,0,62,0.0462,132.032,4,0.216,2019,0
104,0.000505,51.0,0.311,251512,0.959,14EXZEog1hW97d6yz8ejih,0.00012,6,0.328,-5.104,0,59,0.107,149.406,3,0.336,2019,0
105,0.244,68.0,0.728,183493,0.628,5KVm5VkfweimhXkvFbR4YB,4.37e-05,5,0.0706,-8.04,1,3,0.0299,101.502,4,0.709,2019,0
106,0.0797,95.0,0.654,200786,0.76,09CtPGIpYB4BrO8qb1RGsF,0.0,0,0.299,-3.669,0,81,0.045,99.945,4,0.41,2015,0
107,0.146,74.0,0.572,289600,0.878,5v1SSuJCyPHJv9ylVK3LBL,0.0,7,0.314,-4.076,1,1,0.281,165.432,4,0.578,2010,0
108,0.00336,62.0,0.343,259720,0.901,0eSQFIK9NhX4740w0v0SCj,8.72e-06,7,0.258,-4.298,1,2,0.0444,174.134,4,0.668,2019,0
109,0.181,46.0,0.674,235906,0.897,0K7XjmTNFwQ2qwHn4MjlDx,0.0,8,0.195,-3.053,1,48,0.259,91.194,4,0.525,2004,0
110,0.32,71.0,0.604,177056,0.328,2w2XmZLVvSSb30Dkkfeq2X,5.44e-05,11,0.118,-9.478,1,63,0.212,68.718,4,0.338,2019,0
111,0.0108,66.0,0.528,187371,0.861,64kDGEpOWlkv2l6x4TVNOs,0.0,2,0.268,-4.309,1,50,0.0518,95.02,4,0.591,2018,0
112,0.00675,33.0,0.408,187266,0.773,742xhiDs6HCGkTwDQy8V8v,0.0,10,0.175,-6.766,1,14,0.045,139.963,4,0.286,2015,0
113,0.00298,33.5,0.598,273893,0.683,4FQmCfwrpyVigjhbPpZsOo,0.0252,6,0.305,-7.748,0,35,0.0419,116.923,3,0.591,2019,0
114,0.0388,93.0,0.39,202000,0.472,5I9JpRapHDULuFxOqkjP5m,0.0,10,0.111,-6.154,1,67,0.0357,119.548,4,0.163,2019,0
115,0.00289,66.0,0.335,230426,0.858,6IxQ0PdozaZKch1m8tGCwb,0.0,7,0.148,-4.565,1,61,0.0532,177.981,4,0.451,2004,0
116,0.59,95.0,0.845,205680,0.567,4B0JvthVoAAuygILe3n4Bs,0.00142,5,0.0811,-8.118,0,79,0.0956,125.02,4,0.793,2015,0
117,0.596,45.0,0.525,237746,0.353,1JzJFYOlNFISoz28z5t20x,0.0,7,0.0964,-10.985,1,57,0.0322,92.001,4,0.241,2008,0
118,3.95e-05,43.0,0.471,203035,0.911,2hSpvEjeA8y2yGcFBCgwHd,0.0,8,0.272,-4.122,1,47,0.0471,94.898,4,0.438,2007,0
119,0.703,63.0,0.266,217978,0.483,36vGWsPoTnPTRDthSBFsIh,0.0,6,0.118,-4.686,0,56,0.0316,195.934,3,0.478,2019,0
120,0.000282,41.0,0.401,331666,0.99,6wHZbjc6EiEL2guFMKuyCZ,0.792,3,0.0881,-6.831,1,10,0.125,145.995,4,0.0299,2019,0
121,0.913,54.0,0.389,528946,0.169,4NAhOoe6Tp5SU4z0r7Nygx,0.0781,10,0.114,-14.333,1,59,0.0453,77.79,3,0.186,2019,0
122,0.188,77.0,0.638,262466,0.656,7wZUrN8oemZfsEd1CGkbXE,0.0,5,0.146,-5.886,1,79,0.0357,104.036,4,0.225,2007,0
123,0.000323,89.0,0.583,320546,0.768,57F80059mWaWFvWG3tBTbO,0.0162,9,0.109,-6.477,1,67,0.041,127.952,4,0.357,2011,0
124,0.096,77.0,0.616,227080,0.656,3n69hLUdIsSa1WlRmjMZlW,0.000879,5,0.205,-7.298,1,75,0.0344,150.071,4,0.286,2012,0
125,0.905,65.0,0.42,257693,0.0802,4G3EKvGtqcUSZqPQIWJFxd,0.857,7,0.135,-21.795,1,19,0.04,122.041,3,0.0541,1977,0
126,0.994,29.5,0.315,196560,0.0553,0hTQrLYFYI6Eth78YTDNpO,0.892,11,0.156,-29.237,1,0,0.0503,92.608,3,0.268,2019,0
127,0.973,60.0,0.407,418000,0.106,6kXSVoByQngZxSqX4kSGgF,0.0762,1,0.123,-19.078,1,16,0.0375,94.231,4,0.233,2006,0
128,0.515,72.0,0.736,221933,0.74,66TRwr5uJwPt15mfFkzhbi,0.0,0,0.0468,-2.18,1,77,0.0786,140.141,4,0.803,2007,0
129,0.088,83.0,0.722,230713,0.329,0F7rEdewJ6cSLylOZZpDu7,0.0,0,0.081,-11.617,0,69,0.108,99.991,4,0.166,2005,0
130,0.00919,45.0,0.326,257773,0.774,4FFoe2nBCMFaUxK1o27jP0,0.000979,0,0.0816,-5.758,1,32,0.0376,153.663,3,0.416,2019,0
131,0.849,64.0,0.695,198549,0.359,0P3wANnHa96Q7qOBzZrvD5,0.0,0,0.102,-7.676,1,64,0.0535,85.93,4,0.389,2015,0
132,0.0644,83.0,0.828,257800,0.492,0ofHAoxe9vBkTCp2UQIavz,0.00428,0,0.128,-9.744,1,80,0.0276,120.151,4,0.789,1977,0
133,0.747,45.0,0.656,183240,0.284,72ifQVuWpUuPfAskmKXB9F,3.77e-06,0,0.13,-8.192,0,37,0.0541,70.055,4,0.5,2019,0
134,0.00134,69.0,0.587,191252,0.871,3kOEOG3Du6XtJmSkB7pGaZ,0.0,5,0.266,-3.695,1,58,0.0376,97.013,4,0.669,2019,0
135,0.151,67.0,0.851,219466,0.551,66S14BkJDxgkYxLl5DCqOz,0.0,4,0.0827,-5.177,1,75,0.0396,131.922,4,0.807,2003,0
136,0.0476,77.0,0.733,182960,0.589,1dgWTMoHwTUnQhOQ8SR5fV,5.85e-06,7,0.0366,-7.37,1,69,0.1,170.097,4,0.867,2014,0
137,0.648,58.0,0.778,186109,0.691,51utzcuw1SxGYh92nmbFrm,1.94e-05,9,0.124,-6.098,1,29,0.351,123.905,4,0.41,2019,0
