,acousticness,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,year,hit
124,0.185,60.5,0.79,226000,0.585,3G7XYAwtxtoGK7fAm4IlD9,0.0,8,0.292,-6.058,1,65,0.0348,94.072,4,0.585,2015,0
125,0.000563,78.0,0.486,219753,0.666,57Xjny5yNzAcsxnusKmAfA,0.789,9,0.101,-5.084,1,74,0.033,157.992,4,0.741,2003,0
126,4.96e-05,51.0,0.239,249373,0.928,4MvqIDlozKlAC2XaDO6Ri6,0.0257,9,0.612,-4.707,0,42,0.0905,115.036,4,0.375,2005,0
127,0.137,82.0,0.257,308666,0.803,2fY6tqgrlrg1ky9fgs0t5u,0.0156,7,0.297,-3.886,1,15,0.0411,150.818,4,0.294,1986,0
128,0.021,75.0,0.424,254533,0.632,09QZAEmdbq28OaNyqTOEvY,0.0117,9,0.0545,-7.243,1,61,0.0922,97.694,4,0.356,2007,0
129,0.122,90.5,0.82,145697,0.87,64YhfeTI1gvL2xRI9P7lXq,0.0,6,0.0678,-3.578,1,54,0.216,80.022,4,0.823,2018,0
130,0.0266,40.0,0.495,320240,0.867,0as2FkOPwyZJnCqlDeUlmQ,0.000601,1,0.293,-7.623,0,0,0.0606,85.968,4,0.5,2000,0
131,7.62e-05,63.0,0.511,263093,0.986,4KjAoFtWhM9V5llvpvPJcY,0.0523,5,0.0951,-3.242,1,30,0.0538,105.003,4,0.296,2014,0
132,0.314,67.0,0.833,202693,0.0756,4Ke1CYcm2wYDFlOhziFFjK,0.0,4,0.111,-20.822,0,55,0.147,136.007,4,0.338,2011,0
133,0.00252,47.0,0.587,217906,0.854,37kCKxqrYOCNwAt2P5Dt1P,0.589,2,0.114,-7.453,1,22,0.0326,139.044,4,0.938,2014,0
134,0.000142,61.0,0.315,236797,0.829,3E8eSqBoqLs8ELbrK3NJHs,0.00077,1,0.217,-4.117,1,57,0.0422,152.135,4,0.34,2005,0
135,0.435,93.0,0.151,42106,0.389,3vCzHYgSjMuGjFMfJSCx4c,0.961,3,0.228,-12.799,1,53,0.0373,100.702,1,0.226,2011,0
136,0.13,88.0,0.867,251440,0.857,7xRNsqOQOgWbHV1nbXnfXN,0.00171,9,0.13,-5.892,1,63,0.0663,130.048,4,0.402,2009,0
137,0.0548,77.0,0.57,300146,0.554,5IK2FtuC0qmHHam9sWFxUI,0.0,9,0.139,-9.732,0,60,0.0288,122.135,4,0.372,1981,0
138,0.251,86.0,0.666,322548,0.668,3iJxloILmOu2NIRZ0OGyui,5.77e-06,0,0.499,-7.961,1,20,0.0523,132.666,4,0.765,1973,0
139,0.0208,70.0,0.808,221026,0.726,3lGBvPUgO7MJltUnBlOpe9,0.276,10,0.129,-8.435,0,63,0.252,96.12,4,0.616,1994,0
140,0.0111,83.0,0.671,237226,0.744,0ZXia0LUmj7r0CK5YOWdTu,0.0,0,0.11,-8.215,1,38,0.0613,113.011,4,0.744,2018,0
141,0.67,38.0,0.66,187992,0.375,1rg0lQCceR4fJICWDX9b4g,0.0,4,0.0716,-12.801,0,0,0.0985,78.951,4,0.554,2017,0
142,0.0561,66.0,0.702,351506,0.779,1vhNjOtmfgoGy4J6ijCUSS,0.0905,5,0.303,-12.267,1,8,0.0412,98.7,4,0.949,1986,0
143,0.115,68.0,0.703,147880,0.883,7AdsGzEPnPWqpzA2qax2Z1,1.52e-05,10,0.45,-5.603,0,34,0.144,163.986,4,0.908,2006,0
144,0.141,78.0,0.724,196386,0.6,6VS7wKwtvL2FvTupYSWZ9e,0.000218,10,0.104,-4.391,0,69,0.29,86.984,4,0.466,2018,0
145,0.527,83.0,0.308,688453,0.563,3nB82yGjtbQFSU0JLAwLRH,4.58e-06,0,0.134,-9.169,1,58,0.0719,85.901,4,0.109,2013,0
146,0.226,88.0,0.676,209488,0.623,230wNo1dnexltKYQbsW7oD,1.66e-05,6,0.159,-7.297,0,77,0.0352,111.466,4,0.347,2017,0
147,0.222,83.0,0.765,198293,0.356,3pXF1nA74528Edde4of9CC,0.0,11,0.0963,-5.556,0,82,0.196,97.001,4,0.19,2015,0
148,0.807,54.0,0.65,195735,0.377,3jDF66ZATb0FcHNnOqeyDK,0.0487,6,0.11,-12.626,1,11,0.0275,129.028,4,0.288,2014,0
149,0.000152,82.0,0.467,220426,0.988,70wYA8oYHoMzhRRkARoMhU,0.0484,11,0.28,-3.313,1,76,0.112,130.435,4,0.321,2006,0
150,0.103,83.0,0.578,300986,0.486,6UG2khzlXwwiqfqX36c2SR,0.0,0,0.0766,-7.321,1,56,0.252,153.1,4,0.29,2018,0
151,0.557,70.5,0.734,229238,0.479,2eGFixlUmSK3Yei80riTVe,0.00071,0,0.0859,-8.285,0,58,0.0341,90.029,4,0.409,2015,0
152,0.0108,81.0,0.657,212106,0.695,7LP4Es66zdY7CyjepqmvAg,0.0,2,0.0822,-4.493,1,77,0.0321,65.997,4,0.683,2009,0
153,0.0823,10.0,0.727,116151,0.418,3EctmQ5vuYCcpbASfdue0M,0.0,1,0.0958,-10.125,1,0,0.234,153.042,4,0.393,2019,0
154,8.83e-06,65.0,0.372,237453,0.962,5nD9Ct9lrkhf88giN4LmJh,0.905,6,0.361,-2.977,1,1,0.0747,159.954,4,0.49,2010,0
155,0.00216,53.0,0.427,200480,0.843,779ooI3rBd0CLqCiiJmtVo,0.0,4,0.179,-4.54,1,62,0.0364,147.387,3,0.304,2003,0
156,0.221,72.0,0.61,266306,0.419,3xaBJGjMnrbuu2wlI5itEv,0.00964,4,0.0506,-15.334,0,34,0.0423,175.255,4,0.848,1983,0
157,1.89e-05,69.0,0.343,167933,0.828,0x8Q7d0dzJ3XAHE7vZLX3I,0.305,7,0.0948,-3.621,1,39,0.0649,66.311,4,0.385,2001,0
158,0.0992,77.0,0.401,230533,0.644,0VQ0n5gMgJLNixG8BfWBT5,0.000179,2,0.231,-8.608,1,60,0.0439,211.261,3,0.714,1979,0
159,0.191,80.0,0.756,246466,0.77,66ZcOcouenzZEnzTJvoFmH,0.0,1,0.178,-3.502,1,68,0.0343,119.961,4,0.73,2006,0
160,1.51e-05,81.0,0.689,233866,0.739,0q6LuUqGLUiCPP1cbdwFs3,0.509,2,0.064,-5.81,1,76,0.026,120.423,4,0.578,2010,0
161,0.0936,81.0,0.964,171826,0.39,6hgEAYd3CimkLdOa4VgwTw,0.0,1,0.0929,-8.812,1,51,0.308,122.99,4,0.106,2019,0
162,0.123,75.0,0.64,166887,0.767,6ayHLzQ9olHFNL9zOIwXYs,0.0,11,0.111,-5.789,0,45,0.062,75.492,4,0.425,2018,0
