Unnamed: 0,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
671,6fT7QIf55thVWCZyEnaHk0,0.0888,0.664,220207,0.691,0.000592,7,0.174,-8.451,1,0.194,80.001,4,0.637,64,67.0,2019,0
674,1PD7GL8ynRVdjoHDQ1SIIh,3.64e-05,0.293,204750,0.937,1.14e-06,10,0.514,-7.041,0,0.219,194.971,3,0.149,35,42.0,2019,0
675,0XIkPXvcJvQNzUpsWBXL1v,0.421,0.659,205186,0.605,0.0,7,0.17,-5.747999999999998,0,0.26,84.95299999999997,4,0.648,43,67.0,2019,0
677,1vXFnAO7zu7n0ErcJmGLZF,0.742,0.487,231066,0.439,0.0,0,0.091,-11.316,1,0.392,91.582,4,0.369,73,86.0,2019,0
678,2jLZRe37zPVt0sbnxDt1Dk,0.486,0.197,220510,0.227,0.8959999999999999,2,0.21,-11.933,0,0.0363,129.65,5,0.0348,0,40.0,2019,0
680,3yhInewGeB4AzUJKyz3SUR,0.00868,0.725,215239,0.448,0.00526,1,0.0574,-5.898,1,0.0393,92.94,4,0.484,62,65.0,2019,0
683,7b74X79mhsVEmJLcFsuqws,5.89e-05,0.374,418438,0.951,0.8909999999999999,2,0.403,-7.296,1,0.0604,95.477,4,0.477,49,52.0,2019,0
685,2DcykF5eaHu1z2TiuRmns0,0.000105,0.53,273480,0.946,0.000445,4,0.328,-4.387,0,0.126,120.006,4,0.369,36,42.0,2019,0
687,08Qo5HDgqtUIlnwGetLlFI,0.992,0.398,129481,0.14300000000000002,0.945,7,0.119,-18.199,1,0.0414,97.875,4,0.396,53,70.5,2017,0
691,5Z6Rbr15GSqbnOMnVWtuA2,6.01e-05,0.113,231372,0.969,0.00466,2,0.336,-5.229,1,0.161,175.042,4,0.361,3,40.0,2019,0
694,47ojH5LeQhl1ZltSAHBEFF,0.0373,0.605,192825,0.909,1.83e-06,9,0.365,-4.067,1,0.09,114.988,4,0.682,58,65.0,2017,0
695,79sX21LCECS5iBt0rRhU4W,0.13699999999999998,0.519,157927,0.511,0.0,8,0.152,-10.622,1,0.0488,135.9,4,0.391,60,67.0,2019,0
